ssh://ady@localhost:3310/h/321/ady/anaconda3/envs/simclr/bin/python -u /h/321/ady/code/SimCLR/cifar10/linear_eval.py
Using device: cuda
==> Resuming from checkpoint..
best acc:  95.48  start epoch:  196
Evaluating victim
required grad for param name:  fc.weight
required grad for param name:  fc.bias
Epoch 52	Top1 Train accuracy 28.69721221923828	Top1 Test accuracy: 28.02734375	Top5 test acc: 75.76171875
Epoch 53	Top1 Train accuracy 28.72443199157715	Top1 Test accuracy: 28.18359375	Top5 test acc: 75.76171875
Epoch 54	Top1 Train accuracy 28.754375457763672	Top1 Test accuracy: 28.18359375	Top5 test acc: 75.76171875
Epoch 55	Top1 Train accuracy 28.781597137451172	Top1 Test accuracy: 28.18359375	Top5 test acc: 75.76171875
Epoch 56	Top1 Train accuracy 28.82787322998047	Top1 Test accuracy: 28.18359375	Top5 test acc: 75.76171875
Epoch 57	Top1 Train accuracy 28.85373306274414	Top1 Test accuracy: 27.98828125	Top5 test acc: 75.76171875
Epoch 58	Top1 Train accuracy 28.893203735351562	Top1 Test accuracy: 28.0859375	Top5 test acc: 75.60546875
Epoch 59	Top1 Train accuracy 28.923147201538086	Top1 Test accuracy: 28.0859375	Top5 test acc: 75.60546875
Epoch 60	Top1 Train accuracy 28.950368881225586	Top1 Test accuracy: 28.0859375	Top5 test acc: 75.5078125
Epoch 61	Top1 Train accuracy 28.977590560913086	Top1 Test accuracy: 28.2421875	Top5 test acc: 75.5078125
Epoch 62	Top1 Train accuracy 28.999366760253906	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.41015625
Epoch 63	Top1 Train accuracy 29.027950286865234	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.5078125
Epoch 64	Top1 Train accuracy 29.049726486206055	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.5078125
Epoch 65	Top1 Train accuracy 29.0823917388916	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.5078125
Epoch 66	Top1 Train accuracy 29.10552978515625	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.5078125
Epoch 67	Top1 Train accuracy 29.121862411499023	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.5078125
Epoch 68	Top1 Train accuracy 29.1463623046875	Top1 Test accuracy: 28.14453125	Top5 test acc: 75.5078125
