ssh://ady@localhost:3310/h/321/ady/anaconda3/envs/simclr/bin/python -u /h/321/ady/code/SimCLR/cifar10/linear_eval.py
Using device: cuda
==> Resuming from checkpoint..
best acc:  95.48  start epoch:  196
Evaluating victim
Files already downloaded and verified
Files already downloaded and verified
required grad for param name:  fc.weight
required grad for param name:  fc.bias
Epoch 50	Top1 Train accuracy 78.28125	Top1 Test accuracy: 77.60009765625	Top5 test acc: 98.69140625
Epoch 51	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.6123046875	Top5 test acc: 98.7158203125
Epoch 52	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.64892578125	Top5 test acc: 98.72802734375
Epoch 53	Top1 Train accuracy 78.2421875	Top1 Test accuracy: 77.64892578125	Top5 test acc: 98.72802734375
Epoch 54	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.6806640625	Top5 test acc: 98.740234375
Epoch 55	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.69287109375	Top5 test acc: 98.740234375
Epoch 56	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.705078125	Top5 test acc: 98.72802734375
Epoch 57	Top1 Train accuracy 78.2421875	Top1 Test accuracy: 77.75390625	Top5 test acc: 98.72802734375
Epoch 58	Top1 Train accuracy 78.2421875	Top1 Test accuracy: 77.76611328125	Top5 test acc: 98.72802734375
Epoch 59	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.79052734375	Top5 test acc: 98.740234375
Epoch 60	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.79052734375	Top5 test acc: 98.740234375
Epoch 61	Top1 Train accuracy 78.30078125	Top1 Test accuracy: 77.79052734375	Top5 test acc: 98.740234375
Epoch 62	Top1 Train accuracy 78.28125	Top1 Test accuracy: 77.79052734375	Top5 test acc: 98.7646484375
Epoch 63	Top1 Train accuracy 78.28125	Top1 Test accuracy: 77.81494140625	Top5 test acc: 98.7646484375
Epoch 64	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.783203125	Top5 test acc: 98.740234375
Epoch 65	Top1 Train accuracy 78.28125	Top1 Test accuracy: 77.77099609375	Top5 test acc: 98.740234375
Epoch 66	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.7587890625	Top5 test acc: 98.740234375
Epoch 67	Top1 Train accuracy 78.30078125	Top1 Test accuracy: 77.783203125	Top5 test acc: 98.740234375
Epoch 68	Top1 Train accuracy 78.3203125	Top1 Test accuracy: 77.79541015625	Top5 test acc: 98.740234375
Epoch 69	Top1 Train accuracy 78.30078125	Top1 Test accuracy: 77.763671875	Top5 test acc: 98.72802734375
Epoch 70	Top1 Train accuracy 78.30078125	Top1 Test accuracy: 77.763671875	Top5 test acc: 98.72802734375
Epoch 71	Top1 Train accuracy 78.28125	Top1 Test accuracy: 77.77587890625	Top5 test acc: 98.72802734375
Epoch 72	Top1 Train accuracy 78.30078125	Top1 Test accuracy: 77.763671875	Top5 test acc: 98.72802734375
Epoch 73	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.75146484375	Top5 test acc: 98.740234375
Epoch 74	Top1 Train accuracy 78.26171875	Top1 Test accuracy: 77.75146484375	Top5 test acc: 98.72802734375
Epoch 75	Top1 Train accuracy 78.28125	Top1 Test accuracy: 77.77587890625	Top5 test acc: 98.72802734375
Epoch 76	Top1 Train accuracy 78.3375473022461	Top1 Test accuracy: 77.77587890625	Top5 test acc: 98.7158203125
Epoch 77	Top1 Train accuracy 78.3375473022461	Top1 Test accuracy: 77.79541015625	Top5 test acc: 98.72802734375
Epoch 78	Top1 Train accuracy 78.3375473022461	Top1 Test accuracy: 77.83203125	Top5 test acc: 98.7158203125
Epoch 79	Top1 Train accuracy 78.3180160522461	Top1 Test accuracy: 77.83203125	Top5 test acc: 98.7158203125
Epoch 80	Top1 Train accuracy 78.3570785522461	Top1 Test accuracy: 77.83203125	Top5 test acc: 98.7158203125
Epoch 81	Top1 Train accuracy 78.3375473022461	Top1 Test accuracy: 77.84423828125	Top5 test acc: 98.7158203125
Epoch 82	Top1 Train accuracy 78.3180160522461	Top1 Test accuracy: 77.86865234375	Top5 test acc: 98.6962890625
Epoch 83	Top1 Train accuracy 78.3180160522461	Top1 Test accuracy: 77.8564453125	Top5 test acc: 98.6962890625
Epoch 84	Top1 Train accuracy 78.3180160522461	Top1 Test accuracy: 77.84423828125	Top5 test acc: 98.6962890625
Epoch 85	Top1 Train accuracy 78.3180160522461	Top1 Test accuracy: 77.83203125	Top5 test acc: 98.6962890625
Epoch 86	Top1 Train accuracy 78.3180160522461	Top1 Test accuracy: 77.84423828125	Top5 test acc: 98.6962890625
Epoch 87	Top1 Train accuracy 78.3180160522461	Top1 Test accuracy: 77.8564453125	Top5 test acc: 98.68408203125
Epoch 88	Top1 Train accuracy 78.3570785522461	Top1 Test accuracy: 77.8564453125	Top5 test acc: 98.6962890625
Epoch 89	Top1 Train accuracy 78.4156723022461	Top1 Test accuracy: 77.86865234375	Top5 test acc: 98.6962890625
Epoch 90	Top1 Train accuracy 78.4156723022461	Top1 Test accuracy: 77.86865234375	Top5 test acc: 98.6962890625
Epoch 91	Top1 Train accuracy 78.4352035522461	Top1 Test accuracy: 77.84423828125	Top5 test acc: 98.6962890625
Epoch 92	Top1 Train accuracy 78.4352035522461	Top1 Test accuracy: 77.84423828125	Top5 test acc: 98.6962890625
Epoch 93	Top1 Train accuracy 78.4352035522461	Top1 Test accuracy: 77.8564453125	Top5 test acc: 98.6962890625
Epoch 94	Top1 Train accuracy 78.4156723022461	Top1 Test accuracy: 77.84423828125	Top5 test acc: 98.6962890625
Epoch 95	Top1 Train accuracy 78.47196960449219	Top1 Test accuracy: 77.84423828125	Top5 test acc: 98.6962890625
Epoch 96	Top1 Train accuracy 78.49150085449219	Top1 Test accuracy: 77.8564453125	Top5 test acc: 98.6962890625
Epoch 97	Top1 Train accuracy 78.51103210449219	Top1 Test accuracy: 77.8564453125	Top5 test acc: 98.6962890625
Epoch 98	Top1 Train accuracy 78.47196960449219	Top1 Test accuracy: 77.83203125	Top5 test acc: 98.70849609375
Epoch 99	Top1 Train accuracy 78.47196960449219	Top1 Test accuracy: 77.880859375	Top5 test acc: 98.70849609375

Process finished with exit code 0
